Wed Feb 21 13:02:54 2018
###Command: takeoff###
[66584][PWM]: {'pwm.m4_pwm': 50303.0, 'pwm.m2_pwm': 48366.0, 'pwm.m3_pwm': 48536.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 48578.0}
[66634][PWM]: {'pwm.m4_pwm': 43824.0, 'pwm.m2_pwm': 46622.0, 'pwm.m3_pwm': 41371.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 45785.0}
[66684][PWM]: {'pwm.m4_pwm': 49810.0, 'pwm.m2_pwm': 49276.0, 'pwm.m3_pwm': 47210.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 49016.0}
[66734][PWM]: {'pwm.m4_pwm': 45552.0, 'pwm.m2_pwm': 46049.0, 'pwm.m3_pwm': 43227.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 45037.0}
[66784][PWM]: {'pwm.m4_pwm': 49943.0, 'pwm.m2_pwm': 48223.0, 'pwm.m3_pwm': 45922.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 49810.0}
[66834][PWM]: {'pwm.m4_pwm': 44848.0, 'pwm.m2_pwm': 45352.0, 'pwm.m3_pwm': 44330.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 43234.0}
[66884][PWM]: {'pwm.m4_pwm': 48028.0, 'pwm.m2_pwm': 49720.0, 'pwm.m3_pwm': 45698.0, 'pm.vbat': 3.346627712249756, 'pwm.m1_pwm': 49559.0}
[66934][PWM]: {'pwm.m4_pwm': 46236.0, 'pwm.m2_pwm': 44202.0, 'pwm.m3_pwm': 43712.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 44945.0}
[66984][PWM]: {'pwm.m4_pwm': 47401.0, 'pwm.m2_pwm': 50094.0, 'pwm.m3_pwm': 47127.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 49152.0}
[67034][PWM]: {'pwm.m4_pwm': 45840.0, 'pwm.m2_pwm': 44329.0, 'pwm.m3_pwm': 44418.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 45202.0}
[67084][PWM]: {'pwm.m4_pwm': 47174.0, 'pwm.m2_pwm': 47574.0, 'pwm.m3_pwm': 45512.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 48739.0}
[67134][PWM]: {'pwm.m4_pwm': 45394.0, 'pwm.m2_pwm': 43343.0, 'pwm.m3_pwm': 42687.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 45458.0}
[67184][PWM]: {'pwm.m4_pwm': 46958.0, 'pwm.m2_pwm': 47865.0, 'pwm.m3_pwm': 45869.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 48594.0}
[67234][PWM]: {'pwm.m4_pwm': 46204.0, 'pwm.m2_pwm': 43203.0, 'pwm.m3_pwm': 43144.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 45669.0}
[67284][PWM]: {'pwm.m4_pwm': 47481.0, 'pwm.m2_pwm': 48400.0, 'pwm.m3_pwm': 46852.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 48800.0}
[67334][PWM]: {'pwm.m4_pwm': 46237.0, 'pwm.m2_pwm': 45779.0, 'pwm.m3_pwm': 44414.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 46653.0}
[67384][PWM]: {'pwm.m4_pwm': 48561.0, 'pwm.m2_pwm': 49168.0, 'pwm.m3_pwm': 48119.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 49018.0}
[67434][PWM]: {'pwm.m4_pwm': 46550.0, 'pwm.m2_pwm': 47040.0, 'pwm.m3_pwm': 44754.0, 'pm.vbat': 3.3149561882019043, 'pwm.m1_pwm': 47375.0}
[67484][PWM]: {'pwm.m4_pwm': 48986.0, 'pwm.m2_pwm': 48570.0, 'pwm.m3_pwm': 49096.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 47697.0}
[67534][PWM]: {'pwm.m4_pwm': 45456.0, 'pwm.m2_pwm': 46579.0, 'pwm.m3_pwm': 43293.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 47048.0}
[67584][PWM]: {'pwm.m4_pwm': 49439.0, 'pwm.m2_pwm': 49032.0, 'pwm.m3_pwm': 46247.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 50429.0}
[67634][PWM]: {'pwm.m4_pwm': 46425.0, 'pwm.m2_pwm': 46801.0, 'pwm.m3_pwm': 45797.0, 'pm.vbat': 3.320234775543213, 'pwm.m1_pwm': 46131.0}
[67684][PWM]: {'pwm.m4_pwm': 47790.0, 'pwm.m2_pwm': 48862.0, 'pwm.m3_pwm': 47489.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 48187.0}
[67734][PWM]: {'pwm.m4_pwm': 45674.0, 'pwm.m2_pwm': 46999.0, 'pwm.m3_pwm': 44186.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 47354.0}
[67784][PWM]: {'pwm.m4_pwm': 50178.0, 'pwm.m2_pwm': 47842.0, 'pwm.m3_pwm': 47277.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 49496.0}
[67834][PWM]: {'pwm.m4_pwm': 44954.0, 'pwm.m2_pwm': 47185.0, 'pwm.m3_pwm': 43812.0, 'pm.vbat': 3.346627712249756, 'pwm.m1_pwm': 47076.0}
