Wed Feb 21 06:32:40 2018
###Command: takeoff###
[173770][PWM]: {'pwm.m2_pwm': 51948.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 45666.0, 'pwm.m3_pwm': 52627.0, 'pwm.m4_pwm': 47459.0}
[173820][PWM]: {'pwm.m2_pwm': 44008.0, 'pm.vbat': 3.409970760345459, 'pwm.m1_pwm': 46951.0, 'pwm.m3_pwm': 40598.0, 'pwm.m4_pwm': 45302.0}
[173870][PWM]: {'pwm.m2_pwm': 51589.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 47296.0, 'pwm.m3_pwm': 51961.0, 'pwm.m4_pwm': 48996.0}
[173920][PWM]: {'pwm.m2_pwm': 44713.0, 'pm.vbat': 3.409970760345459, 'pwm.m1_pwm': 45077.0, 'pwm.m3_pwm': 42095.0, 'pwm.m4_pwm': 44489.0}
[173970][PWM]: {'pwm.m2_pwm': 51673.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 48599.0, 'pwm.m3_pwm': 50236.0, 'pwm.m4_pwm': 48826.0}
[174020][PWM]: {'pwm.m2_pwm': 44219.0, 'pm.vbat': 3.4152493476867676, 'pwm.m1_pwm': 44114.0, 'pwm.m3_pwm': 42443.0, 'pwm.m4_pwm': 44652.0}
[174070][PWM]: {'pwm.m2_pwm': 50525.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 48134.0, 'pwm.m3_pwm': 48788.0, 'pwm.m4_pwm': 48250.0}
[174120][PWM]: {'pwm.m2_pwm': 44912.0, 'pm.vbat': 3.420527935028076, 'pwm.m1_pwm': 44508.0, 'pwm.m3_pwm': 41951.0, 'pwm.m4_pwm': 44112.0}
[174170][PWM]: {'pwm.m2_pwm': 50555.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 47511.0, 'pwm.m3_pwm': 49208.0, 'pwm.m4_pwm': 48427.0}
[174220][PWM]: {'pwm.m2_pwm': 40255.0, 'pm.vbat': 3.409970760345459, 'pwm.m1_pwm': 37080.0, 'pwm.m3_pwm': 49310.0, 'pwm.m4_pwm': 49705.0}
[174270][PWM]: {'pwm.m2_pwm': 51228.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 49126.0, 'pwm.m3_pwm': 47634.0, 'pwm.m4_pwm': 48378.0}
[174320][PWM]: {'pwm.m2_pwm': 47078.0, 'pm.vbat': 3.4046921730041504, 'pwm.m1_pwm': 45711.0, 'pwm.m3_pwm': 42605.0, 'pwm.m4_pwm': 44641.0}
[174370][PWM]: {'pwm.m2_pwm': 52115.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 49859.0, 'pwm.m3_pwm': 48712.0, 'pwm.m4_pwm': 49406.0}
[174420][PWM]: {'pwm.m2_pwm': 46189.0, 'pm.vbat': 3.4046921730041504, 'pwm.m1_pwm': 44512.0, 'pwm.m3_pwm': 43115.0, 'pwm.m4_pwm': 45262.0}
[174470][PWM]: {'pwm.m2_pwm': 50386.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 48655.0, 'pwm.m3_pwm': 48456.0, 'pwm.m4_pwm': 49973.0}
[174520][PWM]: {'pwm.m2_pwm': 44981.0, 'pm.vbat': 3.409970760345459, 'pwm.m1_pwm': 44420.0, 'pwm.m3_pwm': 42921.0, 'pwm.m4_pwm': 45923.0}
