Wed Feb 21 06:24:45 2018
###Command: takeoff###
[226336][PWM]: {'pwm.m1_pwm': 47861.0, 'pwm.m4_pwm': 46476.0, 'pwm.m2_pwm': 48830.0, 'pm.vbat': 3.462756633758545, 'pwm.m3_pwm': 45812.0}
[226386][PWM]: {'pwm.m1_pwm': 44680.0, 'pwm.m4_pwm': 46035.0, 'pwm.m2_pwm': 45551.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 45049.0}
[226436][PWM]: {'pwm.m1_pwm': 47965.0, 'pwm.m4_pwm': 46886.0, 'pwm.m2_pwm': 48054.0, 'pm.vbat': 3.473313808441162, 'pwm.m3_pwm': 45110.0}
[226486][PWM]: {'pwm.m1_pwm': 44901.0, 'pwm.m4_pwm': 45833.0, 'pwm.m2_pwm': 45720.0, 'pm.vbat': 3.4680352210998535, 'pwm.m3_pwm': 44612.0}
[226536][PWM]: {'pwm.m1_pwm': 48869.0, 'pwm.m4_pwm': 46229.0, 'pwm.m2_pwm': 50170.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 45585.0}
[226586][PWM]: {'pwm.m1_pwm': 44666.0, 'pwm.m4_pwm': 45033.0, 'pwm.m2_pwm': 47322.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 45663.0}
[226636][PWM]: {'pwm.m1_pwm': 47400.0, 'pwm.m4_pwm': 47289.0, 'pwm.m2_pwm': 48300.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 46217.0}
[226686][PWM]: {'pwm.m1_pwm': 43717.0, 'pwm.m4_pwm': 44466.0, 'pwm.m2_pwm': 46508.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 45107.0}
[226736][PWM]: {'pwm.m1_pwm': 46455.0, 'pwm.m4_pwm': 45467.0, 'pwm.m2_pwm': 47518.0, 'pm.vbat': 3.4785923957824707, 'pwm.m3_pwm': 44334.0}
[226786][PWM]: {'pwm.m1_pwm': 43789.0, 'pwm.m4_pwm': 44118.0, 'pwm.m2_pwm': 46470.0, 'pm.vbat': 3.473313808441162, 'pwm.m3_pwm': 44329.0}
[226836][PWM]: {'pwm.m1_pwm': 45998.0, 'pwm.m4_pwm': 46162.0, 'pwm.m2_pwm': 47921.0, 'pm.vbat': 3.462756633758545, 'pwm.m3_pwm': 45243.0}
[226886][PWM]: {'pwm.m1_pwm': 44020.0, 'pwm.m4_pwm': 44531.0, 'pwm.m2_pwm': 46877.0, 'pm.vbat': 3.4680352210998535, 'pwm.m3_pwm': 43920.0}
[226936][PWM]: {'pwm.m1_pwm': 45796.0, 'pwm.m4_pwm': 47069.0, 'pwm.m2_pwm': 47775.0, 'pm.vbat': 3.462756633758545, 'pwm.m3_pwm': 45734.0}
[226986][PWM]: {'pwm.m1_pwm': 44241.0, 'pwm.m4_pwm': 45189.0, 'pwm.m2_pwm': 47234.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 44788.0}
[227036][PWM]: {'pwm.m1_pwm': 46426.0, 'pwm.m4_pwm': 47109.0, 'pwm.m2_pwm': 47668.0, 'pm.vbat': 3.4680352210998535, 'pwm.m3_pwm': 45010.0}
[227086][PWM]: {'pwm.m1_pwm': 44207.0, 'pwm.m4_pwm': 45176.0, 'pwm.m2_pwm': 47266.0, 'pm.vbat': 3.462756633758545, 'pwm.m3_pwm': 45006.0}
[227136][PWM]: {'pwm.m1_pwm': 46662.0, 'pwm.m4_pwm': 47029.0, 'pwm.m2_pwm': 47543.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 44892.0}
[227186][PWM]: {'pwm.m1_pwm': 44654.0, 'pwm.m4_pwm': 44935.0, 'pwm.m2_pwm': 47617.0, 'pm.vbat': 3.462756633758545, 'pwm.m3_pwm': 44554.0}
[227236][PWM]: {'pwm.m1_pwm': 46879.0, 'pwm.m4_pwm': 46548.0, 'pwm.m2_pwm': 47680.0, 'pm.vbat': 3.462756633758545, 'pwm.m3_pwm': 44251.0}
[227286][PWM]: {'pwm.m1_pwm': 44035.0, 'pwm.m4_pwm': 44650.0, 'pwm.m2_pwm': 47859.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 45401.0}
[227336][PWM]: {'pwm.m1_pwm': 45767.0, 'pwm.m4_pwm': 46879.0, 'pwm.m2_pwm': 46461.0, 'pm.vbat': 3.462756633758545, 'pwm.m3_pwm': 44707.0}
[227386][PWM]: {'pwm.m1_pwm': 44459.0, 'pwm.m4_pwm': 45036.0, 'pwm.m2_pwm': 47324.0, 'pm.vbat': 3.462756633758545, 'pwm.m3_pwm': 45135.0}
[227436][PWM]: {'pwm.m1_pwm': 46637.0, 'pwm.m4_pwm': 46469.0, 'pwm.m2_pwm': 47227.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 44184.0}
[227486][PWM]: {'pwm.m1_pwm': 43755.0, 'pwm.m4_pwm': 45670.0, 'pwm.m2_pwm': 46993.0, 'pm.vbat': 3.462756633758545, 'pwm.m3_pwm': 45832.0}
[227536][PWM]: {'pwm.m1_pwm': 46282.0, 'pwm.m4_pwm': 45870.0, 'pwm.m2_pwm': 47678.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 44254.0}
[227586][PWM]: {'pwm.m1_pwm': 44559.0, 'pwm.m4_pwm': 45125.0, 'pwm.m2_pwm': 48145.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 45701.0}
[227636][PWM]: {'pwm.m1_pwm': 45487.0, 'pwm.m4_pwm': 46857.0, 'pwm.m2_pwm': 47563.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 45791.0}
[227686][PWM]: {'pwm.m1_pwm': 46550.0, 'pwm.m4_pwm': 45359.0, 'pwm.m2_pwm': 48117.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 43976.0}
[227736][PWM]: {'pwm.m1_pwm': 45527.0, 'pwm.m4_pwm': 46368.0, 'pwm.m2_pwm': 48096.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 46138.0}
[227786][PWM]: {'pwm.m1_pwm': 45944.0, 'pwm.m4_pwm': 45354.0, 'pwm.m2_pwm': 47893.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 44454.0}
[227836][PWM]: {'pwm.m1_pwm': 46000.0, 'pwm.m4_pwm': 46506.0, 'pwm.m2_pwm': 47133.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 44922.0}
[227886][PWM]: {'pwm.m1_pwm': 44341.0, 'pwm.m4_pwm': 44453.0, 'pwm.m2_pwm': 48200.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 45684.0}
[227936][PWM]: {'pwm.m1_pwm': 45114.0, 'pwm.m4_pwm': 45599.0, 'pwm.m2_pwm': 47415.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 45411.0}
[227986][PWM]: {'pwm.m1_pwm': 45558.0, 'pwm.m4_pwm': 45461.0, 'pwm.m2_pwm': 46955.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 44914.0}
[228036][PWM]: {'pwm.m1_pwm': 45931.0, 'pwm.m4_pwm': 45467.0, 'pwm.m2_pwm': 47251.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 45077.0}
[228086][PWM]: {'pwm.m1_pwm': 46291.0, 'pwm.m4_pwm': 46049.0, 'pwm.m2_pwm': 47120.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 44736.0}
[228136][PWM]: {'pwm.m1_pwm': 46082.0, 'pwm.m4_pwm': 44644.0, 'pwm.m2_pwm': 48881.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 45163.0}
[228186][PWM]: {'pwm.m1_pwm': 45441.0, 'pwm.m4_pwm': 46738.0, 'pwm.m2_pwm': 47354.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 45757.0}
[228236][PWM]: {'pwm.m1_pwm': 47096.0, 'pwm.m4_pwm': 46158.0, 'pwm.m2_pwm': 47981.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 43610.0}
