Wed Feb 21 06:23:35 2018
###Command: takeoff###
[155973][PWM]: {'pwm.m4_pwm': 45686.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 47537.0, 'pwm.m3_pwm': 44739.0, 'pwm.m1_pwm': 46317.0}
[156023][PWM]: {'pwm.m4_pwm': 44103.0, 'pm.vbat': 3.515542507171631, 'pwm.m2_pwm': 43492.0, 'pwm.m3_pwm': 40372.0, 'pwm.m1_pwm': 45195.0}
[156073][PWM]: {'pwm.m4_pwm': 45480.0, 'pm.vbat': 3.5208210945129395, 'pwm.m2_pwm': 47496.0, 'pwm.m3_pwm': 46113.0, 'pwm.m1_pwm': 45357.0}
[156123][PWM]: {'pwm.m4_pwm': 43648.0, 'pm.vbat': 3.5102639198303223, 'pwm.m2_pwm': 44266.0, 'pwm.m3_pwm': 41440.0, 'pwm.m1_pwm': 45436.0}
[156173][PWM]: {'pwm.m4_pwm': 46081.0, 'pm.vbat': 3.489149570465088, 'pwm.m2_pwm': 46830.0, 'pwm.m3_pwm': 45288.0, 'pwm.m1_pwm': 47223.0}
[156223][PWM]: {'pwm.m4_pwm': 43779.0, 'pm.vbat': 3.5102639198303223, 'pwm.m2_pwm': 44709.0, 'pwm.m3_pwm': 42969.0, 'pwm.m1_pwm': 45147.0}
[156273][PWM]: {'pwm.m4_pwm': 45453.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 48451.0, 'pwm.m3_pwm': 46997.0, 'pwm.m1_pwm': 46073.0}
[156323][PWM]: {'pwm.m4_pwm': 43408.0, 'pm.vbat': 3.5049853324890137, 'pwm.m2_pwm': 45873.0, 'pwm.m3_pwm': 42875.0, 'pwm.m1_pwm': 45608.0}
[156373][PWM]: {'pwm.m4_pwm': 46621.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 48890.0, 'pwm.m3_pwm': 46719.0, 'pwm.m1_pwm': 47699.0}
[156423][PWM]: {'pwm.m4_pwm': 44227.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 45665.0, 'pwm.m3_pwm': 43877.0, 'pwm.m1_pwm': 45826.0}
[156473][PWM]: {'pwm.m4_pwm': 45852.0, 'pm.vbat': 3.489149570465088, 'pwm.m2_pwm': 47333.0, 'pwm.m3_pwm': 46347.0, 'pwm.m1_pwm': 47622.0}
[156523][PWM]: {'pwm.m4_pwm': 42422.0, 'pm.vbat': 3.5049853324890137, 'pwm.m2_pwm': 45806.0, 'pwm.m3_pwm': 44995.0, 'pwm.m1_pwm': 44863.0}
[156573][PWM]: {'pwm.m4_pwm': 44770.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 47103.0, 'pwm.m3_pwm': 45987.0, 'pwm.m1_pwm': 47708.0}
[156623][PWM]: {'pwm.m4_pwm': 42968.0, 'pm.vbat': 3.5049853324890137, 'pwm.m2_pwm': 44156.0, 'pwm.m3_pwm': 45132.0, 'pwm.m1_pwm': 44607.0}
[156673][PWM]: {'pwm.m4_pwm': 44227.0, 'pm.vbat': 3.489149570465088, 'pwm.m2_pwm': 46193.0, 'pwm.m3_pwm': 45577.0, 'pwm.m1_pwm': 48301.0}
[156723][PWM]: {'pwm.m4_pwm': 41871.0, 'pm.vbat': 3.5102639198303223, 'pwm.m2_pwm': 44535.0, 'pwm.m3_pwm': 44461.0, 'pwm.m1_pwm': 45762.0}
[156773][PWM]: {'pwm.m4_pwm': 44044.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 45700.0, 'pwm.m3_pwm': 45650.0, 'pwm.m1_pwm': 47797.0}
[156823][PWM]: {'pwm.m4_pwm': 42848.0, 'pm.vbat': 3.5049853324890137, 'pwm.m2_pwm': 44022.0, 'pwm.m3_pwm': 45460.0, 'pwm.m1_pwm': 45469.0}
[156873][PWM]: {'pwm.m4_pwm': 43909.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 45387.0, 'pwm.m3_pwm': 45563.0, 'pwm.m1_pwm': 48601.0}
[156923][PWM]: {'pwm.m4_pwm': 42094.0, 'pm.vbat': 3.499706745147705, 'pwm.m2_pwm': 44545.0, 'pwm.m3_pwm': 45422.0, 'pwm.m1_pwm': 46585.0}
[156973][PWM]: {'pwm.m4_pwm': 44461.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 45471.0, 'pwm.m3_pwm': 46800.0, 'pwm.m1_pwm': 48842.0}
[157023][PWM]: {'pwm.m4_pwm': 41692.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 45294.0, 'pwm.m3_pwm': 45970.0, 'pwm.m1_pwm': 47676.0}
[157073][PWM]: {'pwm.m4_pwm': 44995.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 44833.0, 'pwm.m3_pwm': 47182.0, 'pwm.m1_pwm': 49855.0}
[157123][PWM]: {'pwm.m4_pwm': 40952.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 45008.0, 'pwm.m3_pwm': 46750.0, 'pwm.m1_pwm': 47732.0}
[157173][PWM]: {'pwm.m4_pwm': 43529.0, 'pm.vbat': 3.489149570465088, 'pwm.m2_pwm': 44424.0, 'pwm.m3_pwm': 47439.0, 'pwm.m1_pwm': 49772.0}
[157223][PWM]: {'pwm.m4_pwm': 41272.0, 'pm.vbat': 3.489149570465088, 'pwm.m2_pwm': 43980.0, 'pwm.m3_pwm': 46446.0, 'pwm.m1_pwm': 48508.0}
[157273][PWM]: {'pwm.m4_pwm': 41726.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 45780.0, 'pwm.m3_pwm': 46869.0, 'pwm.m1_pwm': 49843.0}
[157323][PWM]: {'pwm.m4_pwm': 41137.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 43658.0, 'pwm.m3_pwm': 46163.0, 'pwm.m1_pwm': 48131.0}
[157373][PWM]: {'pwm.m4_pwm': 41891.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 44498.0, 'pwm.m3_pwm': 46713.0, 'pwm.m1_pwm': 48664.0}
[157423][PWM]: {'pwm.m4_pwm': 41117.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 45072.0, 'pwm.m3_pwm': 45360.0, 'pwm.m1_pwm': 48366.0}
[157473][PWM]: {'pwm.m4_pwm': 44581.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 45651.0, 'pwm.m3_pwm': 46251.0, 'pwm.m1_pwm': 49509.0}
[157523][PWM]: {'pwm.m4_pwm': 43781.0, 'pm.vbat': 3.4785923957824707, 'pwm.m2_pwm': 45233.0, 'pwm.m3_pwm': 45922.0, 'pwm.m1_pwm': 47609.0}
[157573][PWM]: {'pwm.m4_pwm': 44360.0, 'pm.vbat': 3.489149570465088, 'pwm.m2_pwm': 46765.0, 'pwm.m3_pwm': 45685.0, 'pwm.m1_pwm': 48328.0}
[157623][PWM]: {'pwm.m4_pwm': 43324.0, 'pm.vbat': 3.489149570465088, 'pwm.m2_pwm': 46871.0, 'pwm.m3_pwm': 44729.0, 'pwm.m1_pwm': 47192.0}
[157673][PWM]: {'pwm.m4_pwm': 44929.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 46545.0, 'pwm.m3_pwm': 45979.0, 'pwm.m1_pwm': 47115.0}
[157723][PWM]: {'pwm.m4_pwm': 42632.0, 'pm.vbat': 3.489149570465088, 'pwm.m2_pwm': 47132.0, 'pwm.m3_pwm': 44194.0, 'pwm.m1_pwm': 47153.0}
[157773][PWM]: {'pwm.m4_pwm': 45162.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 45272.0, 'pwm.m3_pwm': 45520.0, 'pwm.m1_pwm': 46855.0}
[157823][PWM]: {'pwm.m4_pwm': 42273.0, 'pm.vbat': 3.489149570465088, 'pwm.m2_pwm': 47452.0, 'pwm.m3_pwm': 44767.0, 'pwm.m1_pwm': 46501.0}
[157873][PWM]: {'pwm.m4_pwm': 45910.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 47147.0, 'pwm.m3_pwm': 46058.0, 'pwm.m1_pwm': 48093.0}
[157923][PWM]: {'pwm.m4_pwm': 43560.0, 'pm.vbat': 3.4785923957824707, 'pwm.m2_pwm': 47493.0, 'pwm.m3_pwm': 45057.0, 'pwm.m1_pwm': 47185.0}
[157973][PWM]: {'pwm.m4_pwm': 45947.0, 'pm.vbat': 3.4785923957824707, 'pwm.m2_pwm': 46294.0, 'pwm.m3_pwm': 45931.0, 'pwm.m1_pwm': 47612.0}
[158023][PWM]: {'pwm.m4_pwm': 42981.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 48336.0, 'pwm.m3_pwm': 44194.0, 'pwm.m1_pwm': 47836.0}
[158073][PWM]: {'pwm.m4_pwm': 46754.0, 'pm.vbat': 3.4785923957824707, 'pwm.m2_pwm': 46888.0, 'pwm.m3_pwm': 45798.0, 'pwm.m1_pwm': 48286.0}
[158123][PWM]: {'pwm.m4_pwm': 43260.0, 'pm.vbat': 3.473313808441162, 'pwm.m2_pwm': 47895.0, 'pwm.m3_pwm': 44789.0, 'pwm.m1_pwm': 47038.0}
[158173][PWM]: {'pwm.m4_pwm': 44500.0, 'pm.vbat': 3.489149570465088, 'pwm.m2_pwm': 47410.0, 'pwm.m3_pwm': 45034.0, 'pwm.m1_pwm': 47231.0}
[158223][PWM]: {'pwm.m4_pwm': 43061.0, 'pm.vbat': 3.489149570465088, 'pwm.m2_pwm': 47369.0, 'pwm.m3_pwm': 45473.0, 'pwm.m1_pwm': 45443.0}
[158273][PWM]: {'pwm.m4_pwm': 45851.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 46640.0, 'pwm.m3_pwm': 43945.0, 'pwm.m1_pwm': 48914.0}
[158323][PWM]: {'pwm.m4_pwm': 42565.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 47837.0, 'pwm.m3_pwm': 46236.0, 'pwm.m1_pwm': 45307.0}
[158373][PWM]: {'pwm.m4_pwm': 44953.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 47177.0, 'pwm.m3_pwm': 44500.0, 'pwm.m1_pwm': 48009.0}
