Wed Feb 21 12:53:39 2018
###Command: takeoff###
[124000][PWM]: {'pwm.m3_pwm': 47866.0, 'pwm.m1_pwm': 36120.0, 'pwm.m4_pwm': 42241.0, 'pwm.m2_pwm': 45141.0, 'pm.vbat': 3.4521994590759277}
[124050][PWM]: {'pwm.m3_pwm': 41927.0, 'pwm.m1_pwm': 52843.0, 'pwm.m4_pwm': 51597.0, 'pwm.m2_pwm': 47985.0, 'pm.vbat': 3.4046921730041504}
[124100][PWM]: {'pwm.m3_pwm': 48568.0, 'pwm.m1_pwm': 36224.0, 'pwm.m4_pwm': 42144.0, 'pwm.m2_pwm': 45874.0, 'pm.vbat': 3.446920871734619}
[124150][PWM]: {'pwm.m3_pwm': 46604.0, 'pwm.m1_pwm': 49116.0, 'pwm.m4_pwm': 50260.0, 'pwm.m2_pwm': 50059.0, 'pm.vbat': 3.399413585662842}
[124200][PWM]: {'pwm.m3_pwm': 45819.0, 'pwm.m1_pwm': 39340.0, 'pwm.m4_pwm': 42719.0, 'pwm.m2_pwm': 44783.0, 'pm.vbat': 3.4521994590759277}
[124250][PWM]: {'pwm.m3_pwm': 49543.0, 'pwm.m1_pwm': 50200.0, 'pwm.m4_pwm': 47097.0, 'pwm.m2_pwm': 50135.0, 'pm.vbat': 3.394134998321533}
[124300][PWM]: {'pwm.m3_pwm': 45481.0, 'pwm.m1_pwm': 42662.0, 'pwm.m4_pwm': 42767.0, 'pwm.m2_pwm': 44179.0, 'pm.vbat': 3.4521994590759277}
[124350][PWM]: {'pwm.m3_pwm': 47421.0, 'pwm.m1_pwm': 48645.0, 'pwm.m4_pwm': 48653.0, 'pwm.m2_pwm': 50254.0, 'pm.vbat': 3.4046921730041504}
[124400][PWM]: {'pwm.m3_pwm': 45797.0, 'pwm.m1_pwm': 38335.0, 'pwm.m4_pwm': 45583.0, 'pwm.m2_pwm': 45550.0, 'pm.vbat': 3.446920871734619}
[124450][PWM]: {'pwm.m3_pwm': 49205.0, 'pwm.m1_pwm': 49194.0, 'pwm.m4_pwm': 48994.0, 'pwm.m2_pwm': 49174.0, 'pm.vbat': 3.399413585662842}
[124500][PWM]: {'pwm.m3_pwm': 46261.0, 'pwm.m1_pwm': 43004.0, 'pwm.m4_pwm': 43741.0, 'pwm.m2_pwm': 45436.0, 'pm.vbat': 3.4416422843933105}
[124550][PWM]: {'pwm.m3_pwm': 49984.0, 'pwm.m1_pwm': 49039.0, 'pwm.m4_pwm': 48618.0, 'pwm.m2_pwm': 50272.0, 'pm.vbat': 3.394134998321533}
[124600][PWM]: {'pwm.m3_pwm': 46368.0, 'pwm.m1_pwm': 43020.0, 'pwm.m4_pwm': 44126.0, 'pwm.m2_pwm': 45112.0, 'pm.vbat': 3.4416422843933105}
[124650][PWM]: {'pwm.m3_pwm': 51378.0, 'pwm.m1_pwm': 48140.0, 'pwm.m4_pwm': 48294.0, 'pwm.m2_pwm': 50432.0, 'pm.vbat': 3.394134998321533}
[124700][PWM]: {'pwm.m3_pwm': 45701.0, 'pwm.m1_pwm': 44368.0, 'pwm.m4_pwm': 44015.0, 'pwm.m2_pwm': 45156.0, 'pm.vbat': 3.436363697052002}
[124750][PWM]: {'pwm.m3_pwm': 51764.0, 'pwm.m1_pwm': 47613.0, 'pwm.m4_pwm': 48185.0, 'pwm.m2_pwm': 49733.0, 'pm.vbat': 3.399413585662842}
[124800][PWM]: {'pwm.m3_pwm': 44719.0, 'pwm.m1_pwm': 45743.0, 'pwm.m4_pwm': 43069.0, 'pwm.m2_pwm': 42951.0, 'pm.vbat': 3.446920871734619}
[124850][PWM]: {'pwm.m3_pwm': 50068.0, 'pwm.m1_pwm': 47594.0, 'pwm.m4_pwm': 47584.0, 'pwm.m2_pwm': 49032.0, 'pm.vbat': 3.399413585662842}
[124900][PWM]: {'pwm.m3_pwm': 43307.0, 'pwm.m1_pwm': 45253.0, 'pwm.m4_pwm': 42954.0, 'pwm.m2_pwm': 44340.0, 'pm.vbat': 3.446920871734619}
[124950][PWM]: {'pwm.m3_pwm': 49413.0, 'pwm.m1_pwm': 45687.0, 'pwm.m4_pwm': 46446.0, 'pwm.m2_pwm': 49877.0, 'pm.vbat': 3.409970760345459}
[125000][PWM]: {'pwm.m3_pwm': 44546.0, 'pwm.m1_pwm': 45008.0, 'pwm.m4_pwm': 42411.0, 'pwm.m2_pwm': 44660.0, 'pm.vbat': 3.4416422843933105}
[125050][PWM]: {'pwm.m3_pwm': 50755.0, 'pwm.m1_pwm': 47419.0, 'pwm.m4_pwm': 47412.0, 'pwm.m2_pwm': 47024.0, 'pm.vbat': 3.409970760345459}
[125100][PWM]: {'pwm.m3_pwm': 44871.0, 'pwm.m1_pwm': 44262.0, 'pwm.m4_pwm': 42199.0, 'pwm.m2_pwm': 45187.0, 'pm.vbat': 3.436363697052002}
[125150][PWM]: {'pwm.m3_pwm': 49782.0, 'pwm.m1_pwm': 46248.0, 'pwm.m4_pwm': 46401.0, 'pwm.m2_pwm': 47096.0, 'pm.vbat': 3.4152493476867676}
[125200][PWM]: {'pwm.m3_pwm': 44876.0, 'pwm.m1_pwm': 44309.0, 'pwm.m4_pwm': 42576.0, 'pwm.m2_pwm': 44855.0, 'pm.vbat': 3.4416422843933105}
[125250][PWM]: {'pwm.m3_pwm': 49843.0, 'pwm.m1_pwm': 47348.0, 'pwm.m4_pwm': 47292.0, 'pwm.m2_pwm': 47146.0, 'pm.vbat': 3.409970760345459}
[125300][PWM]: {'pwm.m3_pwm': 46742.0, 'pwm.m1_pwm': 45048.0, 'pwm.m4_pwm': 43741.0, 'pwm.m2_pwm': 46049.0, 'pm.vbat': 3.4258065223693848}
[125350][PWM]: {'pwm.m3_pwm': 49432.0, 'pwm.m1_pwm': 48806.0, 'pwm.m4_pwm': 47085.0, 'pwm.m2_pwm': 48963.0, 'pm.vbat': 3.4046921730041504}
[125400][PWM]: {'pwm.m3_pwm': 45204.0, 'pwm.m1_pwm': 46308.0, 'pwm.m4_pwm': 44422.0, 'pwm.m2_pwm': 44946.0, 'pm.vbat': 3.4258065223693848}
[125450][PWM]: {'pwm.m3_pwm': 50160.0, 'pwm.m1_pwm': 46710.0, 'pwm.m4_pwm': 45592.0, 'pwm.m2_pwm': 49071.0, 'pm.vbat': 3.4046921730041504}
[125500][PWM]: {'pwm.m3_pwm': 46239.0, 'pwm.m1_pwm': 46008.0, 'pwm.m4_pwm': 43705.0, 'pwm.m2_pwm': 45666.0, 'pm.vbat': 3.4310851097106934}
[125550][PWM]: {'pwm.m3_pwm': 48866.0, 'pwm.m1_pwm': 48616.0, 'pwm.m4_pwm': 46845.0, 'pwm.m2_pwm': 48931.0, 'pm.vbat': 3.4046921730041504}
[125600][PWM]: {'pwm.m3_pwm': 46731.0, 'pwm.m1_pwm': 45559.0, 'pwm.m4_pwm': 43321.0, 'pwm.m2_pwm': 45692.0, 'pm.vbat': 3.4310851097106934}
