time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, bat_volt, power_m1, power_m2, power_m3, power_m4, power_total
1050, 48465, 51012, 49112, 47619, 3.39941358566284, 1.91230597386299, 2.12539674697535, 1.96546562940408, 1.84380067874713, 7.84696902898954
1100, 36942, 40586, 40480, 37422, 3.50498533248901, 1.0797591309353, 1.31922213934463, 1.31193998066812, 1.11001231102657, 4.82093356197462
1150, 48728, 48526, 49441, 49320, 3.40997076034546, 1.93383477513151, 1.91728955452983, 1.99275177605217, 1.98269654229062, 7.82657264800412
1200, 42395, 39830, 38703, 40965, 3.48387098312378, 1.44638927585044, 1.26769734935578, 1.19267367837483, 1.34541307906515, 5.25217338264619
1250, 48747, 50262, 51447, 49116, 3.39941358566284, 1.93539434332426, 2.06158780848594, 2.16280914493359, 1.96579634733811, 8.12558764408189
1300, 44269, 40783, 40088, 41568, 3.47331380844116, 1.58383629226363, 1.33280592184821, 1.28517336313213, 1.38757789641869, 5.58939347366266
1350, 48714, 50687, 52988, 51771, 3.37829923629761, 1.93268598635728, 2.09763797699214, 2.29771078465808, 2.19086663275178, 8.51890138075928
1400, 41809, 43667, 43756, 41995, 3.45747804641724, 1.40459918120395, 1.53905370541147, 1.54563697048645, 1.41780191768513, 5.90709177478699
1450, 53002, 52046, 48183, 49038, 3.38885641098022, 2.2989532141778, 2.21480896646178, 1.88934408086875, 1.95935191842175, 8.36245817993007
1500, 43667, 40571, 39818, 44729, 3.46803522109985, 1.53905370541147, 1.31819050222131, 1.26688723541445, 1.61845504878019, 5.74258649182742
1550, 47564, 52396, 52250, 47831, 3.39413499832153, 1.83938658493798, 2.24545078301381, 2.23264568028094, 1.86086025501457, 8.1783433032473
1600, 40484, 41046, 43510, 43401, 3.46803522109985, 1.31221443741051, 1.35104175090148, 1.52747223304397, 1.51945541114574, 5.7101838325017
1650, 50986, 49674, 49471, 50125, 3.38885641098022, 2.12316996392051, 2.01217947942235, 1.99524838872405, 2.05002738158324, 8.18062521365015
1700, 36565, 45631, 45556, 40318, 3.46275663375854, 1.05627445011117, 1.68733830390747, 1.68156039502497, 1.30084701731536, 5.72602016635897
1750, 49782, 48699, 48227, 50886, 3.39941358566284, 2.02121365240416, 1.93145548658266, 1.89291845048724, 2.11461526600959, 7.96020285548365
1800, 37559, 45390, 45742, 39371, 3.45747804641724, 1.11871930862193, 1.66880439544664, 1.69590633691453, 1.2368832435008, 5.7203132844839
1850, 49554, 49260, 46418, 49494, 3.40997076034546, 2.00216309097352, 1.97771906136294, 1.74851666483922, 1.9971634212904, 7.72556223846608
1900, 32597, 46204, 48811, 40602, 3.45747804641724, 0.824004999563648, 1.73178206254491, 1.94065184141675, 1.32032296749017, 5.81676187101549
