Wed Feb 21 12:55:43 2018
###Command: takeoff###
[248144][PWM]: {'pwm.m4_pwm': 40620.0, 'pwm.m3_pwm': 46452.0, 'pm.vbat': 3.4152493476867676, 'pwm.m1_pwm': 39102.0, 'pwm.m2_pwm': 46969.0}
[248194][PWM]: {'pwm.m4_pwm': 50573.0, 'pwm.m3_pwm': 45803.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 53897.0, 'pwm.m2_pwm': 50129.0}
[248244][PWM]: {'pwm.m4_pwm': 41572.0, 'pwm.m3_pwm': 46405.0, 'pm.vbat': 3.4152493476867676, 'pwm.m1_pwm': 40459.0, 'pwm.m2_pwm': 47513.0}
[248294][PWM]: {'pwm.m4_pwm': 51205.0, 'pwm.m3_pwm': 47304.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 53018.0, 'pwm.m2_pwm': 50188.0}
[248344][PWM]: {'pwm.m4_pwm': 43839.0, 'pwm.m3_pwm': 48381.0, 'pm.vbat': 3.409970760345459, 'pwm.m1_pwm': 38234.0, 'pwm.m2_pwm': 46746.0}
[248394][PWM]: {'pwm.m4_pwm': 50771.0, 'pwm.m3_pwm': 47041.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 52584.0, 'pwm.m2_pwm': 50926.0}
[248444][PWM]: {'pwm.m4_pwm': 42855.0, 'pwm.m3_pwm': 47562.0, 'pm.vbat': 3.409970760345459, 'pwm.m1_pwm': 38061.0, 'pwm.m2_pwm': 46960.0}
[248494][PWM]: {'pwm.m4_pwm': 50199.0, 'pwm.m3_pwm': 47039.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 51146.0, 'pwm.m2_pwm': 50494.0}
[248544][PWM]: {'pwm.m4_pwm': 44288.0, 'pwm.m3_pwm': 46801.0, 'pm.vbat': 3.420527935028076, 'pwm.m1_pwm': 39083.0, 'pwm.m2_pwm': 45838.0}
[248594][PWM]: {'pwm.m4_pwm': 47739.0, 'pwm.m3_pwm': 47885.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 50195.0, 'pwm.m2_pwm': 51858.0}
[248644][PWM]: {'pwm.m4_pwm': 42347.0, 'pwm.m3_pwm': 45850.0, 'pm.vbat': 3.4152493476867676, 'pwm.m1_pwm': 41703.0, 'pwm.m2_pwm': 46027.0}
[248694][PWM]: {'pwm.m4_pwm': 48878.0, 'pwm.m3_pwm': 48513.0, 'pm.vbat': 3.399413585662842, 'pwm.m1_pwm': 50379.0, 'pwm.m2_pwm': 48353.0}
[248744][PWM]: {'pwm.m4_pwm': 42123.0, 'pwm.m3_pwm': 46303.0, 'pm.vbat': 3.4046921730041504, 'pwm.m1_pwm': 44789.0, 'pwm.m2_pwm': 46985.0}
[248794][PWM]: {'pwm.m4_pwm': 48830.0, 'pwm.m3_pwm': 50418.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 50701.0, 'pwm.m2_pwm': 50662.0}
[248844][PWM]: {'pwm.m4_pwm': 44725.0, 'pwm.m3_pwm': 48056.0, 'pm.vbat': 3.4046921730041504, 'pwm.m1_pwm': 43121.0, 'pwm.m2_pwm': 45798.0}
[248894][PWM]: {'pwm.m4_pwm': 48884.0, 'pwm.m3_pwm': 49556.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 50696.0, 'pwm.m2_pwm': 51060.0}
[248944][PWM]: {'pwm.m4_pwm': 45399.0, 'pwm.m3_pwm': 45818.0, 'pm.vbat': 3.4046921730041504, 'pwm.m1_pwm': 44788.0, 'pwm.m2_pwm': 45222.0}
[248994][PWM]: {'pwm.m4_pwm': 48239.0, 'pwm.m3_pwm': 49565.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 49686.0, 'pwm.m2_pwm': 50776.0}
[249044][PWM]: {'pwm.m4_pwm': 43661.0, 'pwm.m3_pwm': 45893.0, 'pm.vbat': 3.409970760345459, 'pwm.m1_pwm': 43918.0, 'pwm.m2_pwm': 45877.0}
[249094][PWM]: {'pwm.m4_pwm': 48550.0, 'pwm.m3_pwm': 49779.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 48096.0, 'pwm.m2_pwm': 49990.0}
[249144][PWM]: {'pwm.m4_pwm': 43654.0, 'pwm.m3_pwm': 43980.0, 'pm.vbat': 3.4152493476867676, 'pwm.m1_pwm': 45622.0, 'pwm.m2_pwm': 46515.0}
[249194][PWM]: {'pwm.m4_pwm': 49334.0, 'pwm.m3_pwm': 50579.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 47856.0, 'pwm.m2_pwm': 49348.0}
[249244][PWM]: {'pwm.m4_pwm': 44553.0, 'pwm.m3_pwm': 44390.0, 'pm.vbat': 3.4046921730041504, 'pwm.m1_pwm': 45901.0, 'pwm.m2_pwm': 46286.0}
[249294][PWM]: {'pwm.m4_pwm': 47503.0, 'pwm.m3_pwm': 49908.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 48187.0, 'pwm.m2_pwm': 51178.0}
[249344][PWM]: {'pwm.m4_pwm': 44821.0, 'pwm.m3_pwm': 44635.0, 'pm.vbat': 3.399413585662842, 'pwm.m1_pwm': 45895.0, 'pwm.m2_pwm': 47670.0}
[249394][PWM]: {'pwm.m4_pwm': 50247.0, 'pwm.m3_pwm': 49364.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 48234.0, 'pwm.m2_pwm': 49741.0}
[249444][PWM]: {'pwm.m4_pwm': 44654.0, 'pwm.m3_pwm': 45694.0, 'pm.vbat': 3.4046921730041504, 'pwm.m1_pwm': 43610.0, 'pwm.m2_pwm': 48621.0}
[249494][PWM]: {'pwm.m4_pwm': 50042.0, 'pwm.m3_pwm': 48784.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 47292.0, 'pwm.m2_pwm': 50782.0}
[249544][PWM]: {'pwm.m4_pwm': 45466.0, 'pwm.m3_pwm': 44743.0, 'pm.vbat': 3.4046921730041504, 'pwm.m1_pwm': 44590.0, 'pwm.m2_pwm': 48187.0}
[249594][PWM]: {'pwm.m4_pwm': 48877.0, 'pwm.m3_pwm': 49200.0, 'pm.vbat': 3.383577823638916, 'pwm.m1_pwm': 47370.0, 'pwm.m2_pwm': 51182.0}
[249644][PWM]: {'pwm.m4_pwm': 46842.0, 'pwm.m3_pwm': 44347.0, 'pm.vbat': 3.394134998321533, 'pwm.m1_pwm': 46129.0, 'pwm.m2_pwm': 46828.0}
[249694][PWM]: {'pwm.m4_pwm': 48574.0, 'pwm.m3_pwm': 48773.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 47148.0, 'pwm.m2_pwm': 49546.0}
[249744][PWM]: {'pwm.m4_pwm': 43333.0, 'pwm.m3_pwm': 45076.0, 'pm.vbat': 3.409970760345459, 'pwm.m1_pwm': 43931.0, 'pwm.m2_pwm': 46807.0}
[249794][PWM]: {'pwm.m4_pwm': 47281.0, 'pwm.m3_pwm': 47409.0, 'pm.vbat': 3.3888564109802246, 'pwm.m1_pwm': 47188.0, 'pwm.m2_pwm': 48324.0}
[249844][PWM]: {'pwm.m4_pwm': 46160.0, 'pwm.m3_pwm': 45872.0, 'pm.vbat': 3.399413585662842, 'pwm.m1_pwm': 45464.0, 'pwm.m2_pwm': 46724.0}
[249894][PWM]: {'pwm.m4_pwm': 48338.0, 'pwm.m3_pwm': 48971.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 48190.0, 'pwm.m2_pwm': 50241.0}
[249944][PWM]: {'pwm.m4_pwm': 47041.0, 'pwm.m3_pwm': 46281.0, 'pm.vbat': 3.3888564109802246, 'pwm.m1_pwm': 46022.0, 'pwm.m2_pwm': 47530.0}
[249994][PWM]: {'pwm.m4_pwm': 48358.0, 'pwm.m3_pwm': 48638.0, 'pm.vbat': 3.3888564109802246, 'pwm.m1_pwm': 47836.0, 'pwm.m2_pwm': 50525.0}
[250044][PWM]: {'pwm.m4_pwm': 46895.0, 'pwm.m3_pwm': 46833.0, 'pm.vbat': 3.3888564109802246, 'pwm.m1_pwm': 45669.0, 'pwm.m2_pwm': 48952.0}
[250094][PWM]: {'pwm.m4_pwm': 50099.0, 'pwm.m3_pwm': 48772.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 48862.0, 'pwm.m2_pwm': 50594.0}
[250144][PWM]: {'pwm.m4_pwm': 46783.0, 'pwm.m3_pwm': 46282.0, 'pm.vbat': 3.3888564109802246, 'pwm.m1_pwm': 45449.0, 'pwm.m2_pwm': 48325.0}
[250194][PWM]: {'pwm.m4_pwm': 49145.0, 'pwm.m3_pwm': 48227.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 48224.0, 'pwm.m2_pwm': 50255.0}
[250244][PWM]: {'pwm.m4_pwm': 47953.0, 'pwm.m3_pwm': 46517.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 45663.0, 'pwm.m2_pwm': 46962.0}
[250294][PWM]: {'pwm.m4_pwm': 47669.0, 'pwm.m3_pwm': 49133.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 47354.0, 'pwm.m2_pwm': 51016.0}
[250344][PWM]: {'pwm.m4_pwm': 46695.0, 'pwm.m3_pwm': 45245.0, 'pm.vbat': 3.394134998321533, 'pwm.m1_pwm': 46107.0, 'pwm.m2_pwm': 46475.0}
[250394][PWM]: {'pwm.m4_pwm': 46734.0, 'pwm.m3_pwm': 48276.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 47015.0, 'pwm.m2_pwm': 49927.0}
[250444][PWM]: {'pwm.m4_pwm': 46451.0, 'pwm.m3_pwm': 45998.0, 'pm.vbat': 3.394134998321533, 'pwm.m1_pwm': 45859.0, 'pwm.m2_pwm': 46569.0}
[250494][PWM]: {'pwm.m4_pwm': 48413.0, 'pwm.m3_pwm': 48094.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 48830.0, 'pwm.m2_pwm': 49873.0}
[250544][PWM]: {'pwm.m4_pwm': 45983.0, 'pwm.m3_pwm': 46936.0, 'pm.vbat': 3.383577823638916, 'pwm.m1_pwm': 45846.0, 'pwm.m2_pwm': 48736.0}
[250594][PWM]: {'pwm.m4_pwm': 48043.0, 'pwm.m3_pwm': 47776.0, 'pm.vbat': 3.383577823638916, 'pwm.m1_pwm': 47738.0, 'pwm.m2_pwm': 49876.0}
[250644][PWM]: {'pwm.m4_pwm': 46763.0, 'pwm.m3_pwm': 46638.0, 'pm.vbat': 3.383577823638916, 'pwm.m1_pwm': 45451.0, 'pwm.m2_pwm': 48070.0}
[250694][PWM]: {'pwm.m4_pwm': 48252.0, 'pwm.m3_pwm': 47588.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 47482.0, 'pwm.m2_pwm': 49337.0}
[250744][PWM]: {'pwm.m4_pwm': 46203.0, 'pwm.m3_pwm': 46858.0, 'pm.vbat': 3.3888564109802246, 'pwm.m1_pwm': 45896.0, 'pwm.m2_pwm': 48342.0}
[250794][PWM]: {'pwm.m4_pwm': 47681.0, 'pwm.m3_pwm': 48047.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 47535.0, 'pwm.m2_pwm': 49139.0}
[250844][PWM]: {'pwm.m4_pwm': 46983.0, 'pwm.m3_pwm': 47298.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 46554.0, 'pwm.m2_pwm': 47412.0}
[250894][PWM]: {'pwm.m4_pwm': 47463.0, 'pwm.m3_pwm': 48245.0, 'pm.vbat': 3.383577823638916, 'pwm.m1_pwm': 48744.0, 'pwm.m2_pwm': 50099.0}
[250944][PWM]: {'pwm.m4_pwm': 45998.0, 'pwm.m3_pwm': 47755.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 46731.0, 'pwm.m2_pwm': 49448.0}
[250994][PWM]: {'pwm.m4_pwm': 46977.0, 'pwm.m3_pwm': 47573.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 47984.0, 'pwm.m2_pwm': 49667.0}
[251044][PWM]: {'pwm.m4_pwm': 46669.0, 'pwm.m3_pwm': 47822.0, 'pm.vbat': 3.383577823638916, 'pwm.m1_pwm': 45397.0, 'pwm.m2_pwm': 47267.0}
###Command: left###
[251094][PWM]: {'pwm.m4_pwm': 46675.0, 'pwm.m3_pwm': 47999.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 48431.0, 'pwm.m2_pwm': 49782.0}
[251144][PWM]: {'pwm.m4_pwm': 38499.0, 'pwm.m3_pwm': 39225.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 53576.0, 'pwm.m2_pwm': 54236.0}
[251194][PWM]: {'pwm.m4_pwm': 55564.0, 'pwm.m3_pwm': 57323.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 31869.0, 'pwm.m2_pwm': 35095.0}
[251244][PWM]: {'pwm.m4_pwm': 46443.0, 'pwm.m3_pwm': 47996.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 48131.0, 'pwm.m2_pwm': 48299.0}
[251294][PWM]: {'pwm.m4_pwm': 46120.0, 'pwm.m3_pwm': 47785.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 47737.0, 'pwm.m2_pwm': 48652.0}
[251344][PWM]: {'pwm.m4_pwm': 56763.0, 'pwm.m3_pwm': 57684.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 33347.0, 'pwm.m2_pwm': 35018.0}
[251394][PWM]: {'pwm.m4_pwm': 34387.0, 'pwm.m3_pwm': 34468.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 57202.0, 'pwm.m2_pwm': 57443.0}
[251444][PWM]: {'pwm.m4_pwm': 47016.0, 'pwm.m3_pwm': 50384.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 42058.0, 'pwm.m2_pwm': 47507.0}
[251494][PWM]: {'pwm.m4_pwm': 46135.0, 'pwm.m3_pwm': 44081.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 50720.0, 'pwm.m2_pwm': 51189.0}
[251544][PWM]: {'pwm.m4_pwm': 52362.0, 'pwm.m3_pwm': 51877.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 42412.0, 'pwm.m2_pwm': 43767.0}
###Command: left###
[251594][PWM]: {'pwm.m4_pwm': 34990.0, 'pwm.m3_pwm': 41005.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 56695.0, 'pwm.m2_pwm': 57494.0}
[251644][PWM]: {'pwm.m4_pwm': 48765.0, 'pwm.m3_pwm': 51897.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 48233.0, 'pwm.m2_pwm': 44719.0}
[251694][PWM]: {'pwm.m4_pwm': 51073.0, 'pwm.m3_pwm': 55148.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 47845.0, 'pwm.m2_pwm': 39277.0}
[251744][PWM]: {'pwm.m4_pwm': 37623.0, 'pwm.m3_pwm': 49782.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 53056.0, 'pwm.m2_pwm': 49425.0}
[251794][PWM]: {'pwm.m4_pwm': 47519.0, 'pwm.m3_pwm': 54302.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 49100.0, 'pwm.m2_pwm': 39561.0}
[251844][PWM]: {'pwm.m4_pwm': 50464.0, 'pwm.m3_pwm': 56668.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 45841.0, 'pwm.m2_pwm': 31333.0}
