Wed Feb 21 06:10:04 2018
###Command: takeoff###
[281462][PWM]: {'pwm.m1_pwm': 39258.0, 'pm.vbat': 3.621114492416382, 'pwm.m2_pwm': 42184.0, 'pwm.m3_pwm': 40567.0, 'pwm.m4_pwm': 40475.0}
[281512][PWM]: {'pwm.m1_pwm': 48034.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 47859.0, 'pwm.m3_pwm': 44720.0, 'pwm.m4_pwm': 47434.0}
[281562][PWM]: {'pwm.m1_pwm': 42314.0, 'pm.vbat': 3.6105573177337646, 'pwm.m2_pwm': 42213.0, 'pwm.m3_pwm': 39280.0, 'pwm.m4_pwm': 42263.0}
[281612][PWM]: {'pwm.m1_pwm': 47288.0, 'pm.vbat': 3.5577714443206787, 'pwm.m2_pwm': 48434.0, 'pwm.m3_pwm': 45849.0, 'pwm.m4_pwm': 46941.0}
[281662][PWM]: {'pwm.m1_pwm': 41323.0, 'pm.vbat': 3.6105573177337646, 'pwm.m2_pwm': 42057.0, 'pwm.m3_pwm': 40283.0, 'pwm.m4_pwm': 42042.0}
[281712][PWM]: {'pwm.m1_pwm': 46798.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 47295.0, 'pwm.m3_pwm': 45164.0, 'pwm.m4_pwm': 46746.0}
[281762][PWM]: {'pwm.m1_pwm': 40918.0, 'pm.vbat': 3.6158359050750732, 'pwm.m2_pwm': 42078.0, 'pwm.m3_pwm': 40129.0, 'pwm.m4_pwm': 41156.0}
[281812][PWM]: {'pwm.m1_pwm': 47708.0, 'pm.vbat': 3.5736072063446045, 'pwm.m2_pwm': 46559.0, 'pwm.m3_pwm': 44136.0, 'pwm.m4_pwm': 47193.0}
[281862][PWM]: {'pwm.m1_pwm': 42415.0, 'pm.vbat': 3.605278730392456, 'pwm.m2_pwm': 42724.0, 'pwm.m3_pwm': 40459.0, 'pwm.m4_pwm': 42080.0}
[281912][PWM]: {'pwm.m1_pwm': 47693.0, 'pm.vbat': 3.55249285697937, 'pwm.m2_pwm': 48176.0, 'pwm.m3_pwm': 46404.0, 'pwm.m4_pwm': 47180.0}
[281962][PWM]: {'pwm.m1_pwm': 42812.0, 'pm.vbat': 3.6000001430511475, 'pwm.m2_pwm': 43596.0, 'pwm.m3_pwm': 40916.0, 'pwm.m4_pwm': 41591.0}
[282012][PWM]: {'pwm.m1_pwm': 47006.0, 'pm.vbat': 3.55249285697937, 'pwm.m2_pwm': 47683.0, 'pwm.m3_pwm': 47106.0, 'pwm.m4_pwm': 47224.0}
[282062][PWM]: {'pwm.m1_pwm': 43179.0, 'pm.vbat': 3.6000001430511475, 'pwm.m2_pwm': 43850.0, 'pwm.m3_pwm': 40558.0, 'pwm.m4_pwm': 40395.0}
[282112][PWM]: {'pwm.m1_pwm': 46308.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 46668.0, 'pwm.m3_pwm': 46533.0, 'pwm.m4_pwm': 46563.0}
[282162][PWM]: {'pwm.m1_pwm': 42037.0, 'pm.vbat': 3.6105573177337646, 'pwm.m2_pwm': 43649.0, 'pwm.m3_pwm': 40417.0, 'pwm.m4_pwm': 39422.0}
[282212][PWM]: {'pwm.m1_pwm': 46574.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 46390.0, 'pwm.m3_pwm': 45252.0, 'pwm.m4_pwm': 45881.0}
[282262][PWM]: {'pwm.m1_pwm': 42039.0, 'pm.vbat': 3.6105573177337646, 'pwm.m2_pwm': 41460.0, 'pwm.m3_pwm': 40751.0, 'pwm.m4_pwm': 41637.0}
[282312][PWM]: {'pwm.m1_pwm': 46521.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 47943.0, 'pwm.m3_pwm': 45162.0, 'pwm.m4_pwm': 43881.0}
[282362][PWM]: {'pwm.m1_pwm': 42551.0, 'pm.vbat': 3.605278730392456, 'pwm.m2_pwm': 42182.0, 'pwm.m3_pwm': 41094.0, 'pwm.m4_pwm': 41447.0}
[282412][PWM]: {'pwm.m1_pwm': 46558.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 46678.0, 'pwm.m3_pwm': 45864.0, 'pwm.m4_pwm': 45613.0}
[282462][PWM]: {'pwm.m1_pwm': 43262.0, 'pm.vbat': 3.594721555709839, 'pwm.m2_pwm': 42680.0, 'pwm.m3_pwm': 41500.0, 'pwm.m4_pwm': 41820.0}
[282512][PWM]: {'pwm.m1_pwm': 46905.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 46627.0, 'pwm.m3_pwm': 45890.0, 'pwm.m4_pwm': 45553.0}
[282562][PWM]: {'pwm.m1_pwm': 42861.0, 'pm.vbat': 3.6000001430511475, 'pwm.m2_pwm': 42751.0, 'pwm.m3_pwm': 42428.0, 'pwm.m4_pwm': 41815.0}
[282612][PWM]: {'pwm.m1_pwm': 46667.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 47110.0, 'pwm.m3_pwm': 45347.0, 'pwm.m4_pwm': 44309.0}
[282662][PWM]: {'pwm.m1_pwm': 42954.0, 'pm.vbat': 3.6000001430511475, 'pwm.m2_pwm': 42597.0, 'pwm.m3_pwm': 41806.0, 'pwm.m4_pwm': 41559.0}
[282712][PWM]: {'pwm.m1_pwm': 46414.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 46186.0, 'pwm.m3_pwm': 44540.0, 'pwm.m4_pwm': 44479.0}
[282762][PWM]: {'pwm.m1_pwm': 43365.0, 'pm.vbat': 3.594721555709839, 'pwm.m2_pwm': 42960.0, 'pwm.m3_pwm': 41964.0, 'pwm.m4_pwm': 42127.0}
[282812][PWM]: {'pwm.m1_pwm': 46426.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 46157.0, 'pwm.m3_pwm': 44837.0, 'pwm.m4_pwm': 45027.0}
[282862][PWM]: {'pwm.m1_pwm': 43268.0, 'pm.vbat': 3.594721555709839, 'pwm.m2_pwm': 43335.0, 'pwm.m3_pwm': 42295.0, 'pwm.m4_pwm': 42122.0}
[282912][PWM]: {'pwm.m1_pwm': 46355.0, 'pm.vbat': 3.5577714443206787, 'pwm.m2_pwm': 46816.0, 'pwm.m3_pwm': 45810.0, 'pwm.m4_pwm': 45422.0}
[282962][PWM]: {'pwm.m1_pwm': 44567.0, 'pm.vbat': 3.5894429683685303, 'pwm.m2_pwm': 43855.0, 'pwm.m3_pwm': 41814.0, 'pwm.m4_pwm': 42456.0}
[283012][PWM]: {'pwm.m1_pwm': 45837.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 46837.0, 'pwm.m3_pwm': 45989.0, 'pwm.m4_pwm': 44933.0}
[283062][PWM]: {'pwm.m1_pwm': 43467.0, 'pm.vbat': 3.5894429683685303, 'pwm.m2_pwm': 43433.0, 'pwm.m3_pwm': 42406.0, 'pwm.m4_pwm': 42509.0}
[283112][PWM]: {'pwm.m1_pwm': 46261.0, 'pm.vbat': 3.5736072063446045, 'pwm.m2_pwm': 46184.0, 'pwm.m3_pwm': 44821.0, 'pwm.m4_pwm': 45063.0}
[283162][PWM]: {'pwm.m1_pwm': 42729.0, 'pm.vbat': 3.5841643810272217, 'pwm.m2_pwm': 43132.0, 'pwm.m3_pwm': 43120.0, 'pwm.m4_pwm': 42653.0}
[283212][PWM]: {'pwm.m1_pwm': 46780.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 46158.0, 'pwm.m3_pwm': 44238.0, 'pwm.m4_pwm': 44972.0}
[283262][PWM]: {'pwm.m1_pwm': 43685.0, 'pm.vbat': 3.5841643810272217, 'pwm.m2_pwm': 43698.0, 'pwm.m3_pwm': 43147.0, 'pwm.m4_pwm': 43125.0}
[283312][PWM]: {'pwm.m1_pwm': 46624.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 47006.0, 'pwm.m3_pwm': 45765.0, 'pwm.m4_pwm': 45374.0}
[283362][PWM]: {'pwm.m1_pwm': 43961.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 44149.0, 'pwm.m3_pwm': 44270.0, 'pwm.m4_pwm': 43901.0}
[283412][PWM]: {'pwm.m1_pwm': 46619.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 46166.0, 'pwm.m3_pwm': 45105.0, 'pwm.m4_pwm': 45390.0}
[283462][PWM]: {'pwm.m1_pwm': 42825.0, 'pm.vbat': 3.578885793685913, 'pwm.m2_pwm': 43277.0, 'pwm.m3_pwm': 43213.0, 'pwm.m4_pwm': 42531.0}
[283512][PWM]: {'pwm.m1_pwm': 46641.0, 'pm.vbat': 3.5736072063446045, 'pwm.m2_pwm': 45051.0, 'pwm.m3_pwm': 43198.0, 'pwm.m4_pwm': 44380.0}
[283562][PWM]: {'pwm.m1_pwm': 43522.0, 'pm.vbat': 3.5894429683685303, 'pwm.m2_pwm': 44204.0, 'pwm.m3_pwm': 42392.0, 'pwm.m4_pwm': 41020.0}
[283612][PWM]: {'pwm.m1_pwm': 45095.0, 'pm.vbat': 3.5736072063446045, 'pwm.m2_pwm': 43261.0, 'pwm.m3_pwm': 44517.0, 'pwm.m4_pwm': 45584.0}
[283662][PWM]: {'pwm.m1_pwm': 45586.0, 'pm.vbat': 3.5841643810272217, 'pwm.m2_pwm': 44991.0, 'pwm.m3_pwm': 41784.0, 'pwm.m4_pwm': 41890.0}
[283712][PWM]: {'pwm.m1_pwm': 45504.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 46487.0, 'pwm.m3_pwm': 45776.0, 'pwm.m4_pwm': 44695.0}
[283762][PWM]: {'pwm.m1_pwm': 45643.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 44245.0, 'pwm.m3_pwm': 42839.0, 'pwm.m4_pwm': 43943.0}
[283812][PWM]: {'pwm.m1_pwm': 47161.0, 'pm.vbat': 3.55249285697937, 'pwm.m2_pwm': 46811.0, 'pwm.m3_pwm': 45428.0, 'pwm.m4_pwm': 45363.0}
