Wed Feb 21 06:10:38 2018
###Command: takeoff###
[317735][PWM]: {'pwm.m4_pwm': 42960.0, 'pwm.m2_pwm': 42555.0, 'pm.vbat': 3.568328619003296, 'pwm.m1_pwm': 45223.0, 'pwm.m3_pwm': 43315.0}
[317785][PWM]: {'pwm.m4_pwm': 43150.0, 'pwm.m2_pwm': 45631.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 46719.0, 'pwm.m3_pwm': 44634.0}
[317835][PWM]: {'pwm.m4_pwm': 42096.0, 'pwm.m2_pwm': 44001.0, 'pm.vbat': 3.5630500316619873, 'pwm.m1_pwm': 44820.0, 'pwm.m3_pwm': 43847.0}
[317885][PWM]: {'pwm.m4_pwm': 43907.0, 'pwm.m2_pwm': 45666.0, 'pm.vbat': 3.5630500316619873, 'pwm.m1_pwm': 46866.0, 'pwm.m3_pwm': 44968.0}
[317935][PWM]: {'pwm.m4_pwm': 44227.0, 'pwm.m2_pwm': 43394.0, 'pm.vbat': 3.5577714443206787, 'pwm.m1_pwm': 44664.0, 'pwm.m3_pwm': 45449.0}
[317985][PWM]: {'pwm.m4_pwm': 44401.0, 'pwm.m2_pwm': 45884.0, 'pm.vbat': 3.5472142696380615, 'pwm.m1_pwm': 47162.0, 'pwm.m3_pwm': 45501.0}
[318035][PWM]: {'pwm.m4_pwm': 43465.0, 'pwm.m2_pwm': 44148.0, 'pm.vbat': 3.5577714443206787, 'pwm.m1_pwm': 44776.0, 'pwm.m3_pwm': 45105.0}
[318085][PWM]: {'pwm.m4_pwm': 44332.0, 'pwm.m2_pwm': 46193.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 47230.0, 'pwm.m3_pwm': 45626.0}
[318135][PWM]: {'pwm.m4_pwm': 42900.0, 'pwm.m2_pwm': 43660.0, 'pm.vbat': 3.5630500316619873, 'pwm.m1_pwm': 43515.0, 'pwm.m3_pwm': 45249.0}
[318185][PWM]: {'pwm.m4_pwm': 44195.0, 'pwm.m2_pwm': 44801.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 45863.0, 'pwm.m3_pwm': 45253.0}
[318235][PWM]: {'pwm.m4_pwm': 41819.0, 'pwm.m2_pwm': 43904.0, 'pm.vbat': 3.5630500316619873, 'pwm.m1_pwm': 42472.0, 'pwm.m3_pwm': 45593.0}
[318285][PWM]: {'pwm.m4_pwm': 44957.0, 'pwm.m2_pwm': 44037.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 45652.0, 'pwm.m3_pwm': 45286.0}
[318335][PWM]: {'pwm.m4_pwm': 41757.0, 'pwm.m2_pwm': 45308.0, 'pm.vbat': 3.5577714443206787, 'pwm.m1_pwm': 44478.0, 'pwm.m3_pwm': 44623.0}
[318385][PWM]: {'pwm.m4_pwm': 44983.0, 'pwm.m2_pwm': 44816.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 46216.0, 'pwm.m3_pwm': 45353.0}
[318435][PWM]: {'pwm.m4_pwm': 42825.0, 'pwm.m2_pwm': 43685.0, 'pm.vbat': 3.5577714443206787, 'pwm.m1_pwm': 44701.0, 'pwm.m3_pwm': 43603.0}
[318485][PWM]: {'pwm.m4_pwm': 43645.0, 'pwm.m2_pwm': 44719.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 45547.0, 'pwm.m3_pwm': 44529.0}
[318535][PWM]: {'pwm.m4_pwm': 43282.0, 'pwm.m2_pwm': 43544.0, 'pm.vbat': 3.5630500316619873, 'pwm.m1_pwm': 45242.0, 'pwm.m3_pwm': 43505.0}
[318585][PWM]: {'pwm.m4_pwm': 43945.0, 'pwm.m2_pwm': 45553.0, 'pm.vbat': 3.5472142696380615, 'pwm.m1_pwm': 45735.0, 'pwm.m3_pwm': 45633.0}
