Wed Feb 21 12:47:27 2018
###Command: takeoff###
[32269][PWM]: {'pwm.m2_pwm': 46599.0, 'pwm.m4_pwm': 46639.0, 'pwm.m1_pwm': 45561.0, 'pwm.m3_pwm': 44736.0, 'pm.vbat': 3.3360705375671387}
[32319][PWM]: {'pwm.m2_pwm': 48076.0, 'pwm.m4_pwm': 48331.0, 'pwm.m1_pwm': 47847.0, 'pwm.m3_pwm': 45644.0, 'pm.vbat': 3.357184886932373}
[32369][PWM]: {'pwm.m2_pwm': 47220.0, 'pwm.m4_pwm': 43514.0, 'pwm.m1_pwm': 46080.0, 'pwm.m3_pwm': 41865.0, 'pm.vbat': 3.409970760345459}
[32419][PWM]: {'pwm.m2_pwm': 47507.0, 'pwm.m4_pwm': 47476.0, 'pwm.m1_pwm': 46732.0, 'pwm.m3_pwm': 45266.0, 'pm.vbat': 3.3888564109802246}
[32469][PWM]: {'pwm.m2_pwm': 45415.0, 'pwm.m4_pwm': 44020.0, 'pwm.m1_pwm': 44909.0, 'pwm.m3_pwm': 41364.0, 'pm.vbat': 3.4310851097106934}
[32519][PWM]: {'pwm.m2_pwm': 45119.0, 'pwm.m4_pwm': 47336.0, 'pwm.m1_pwm': 45197.0, 'pwm.m3_pwm': 44457.0, 'pm.vbat': 3.409970760345459}
[32569][PWM]: {'pwm.m2_pwm': 45855.0, 'pwm.m4_pwm': 44411.0, 'pwm.m1_pwm': 44928.0, 'pwm.m3_pwm': 42571.0, 'pm.vbat': 3.436363697052002}
[32619][PWM]: {'pwm.m2_pwm': 47905.0, 'pwm.m4_pwm': 47564.0, 'pwm.m1_pwm': 47239.0, 'pwm.m3_pwm': 45446.0, 'pm.vbat': 3.394134998321533}
[32669][PWM]: {'pwm.m2_pwm': 45588.0, 'pwm.m4_pwm': 45628.0, 'pwm.m1_pwm': 45053.0, 'pwm.m3_pwm': 43361.0, 'pm.vbat': 3.4258065223693848}
[32719][PWM]: {'pwm.m2_pwm': 47960.0, 'pwm.m4_pwm': 46925.0, 'pwm.m1_pwm': 47063.0, 'pwm.m3_pwm': 44983.0, 'pm.vbat': 3.399413585662842}
[32769][PWM]: {'pwm.m2_pwm': 45062.0, 'pwm.m4_pwm': 44854.0, 'pwm.m1_pwm': 44607.0, 'pwm.m3_pwm': 42561.0, 'pm.vbat': 3.4416422843933105}
[32819][PWM]: {'pwm.m2_pwm': 47027.0, 'pwm.m4_pwm': 47023.0, 'pwm.m1_pwm': 46983.0, 'pwm.m3_pwm': 44464.0, 'pm.vbat': 3.4152493476867676}
[32869][PWM]: {'pwm.m2_pwm': 44730.0, 'pwm.m4_pwm': 45296.0, 'pwm.m1_pwm': 44650.0, 'pwm.m3_pwm': 42763.0, 'pm.vbat': 3.4416422843933105}
[32919][PWM]: {'pwm.m2_pwm': 47364.0, 'pwm.m4_pwm': 46268.0, 'pwm.m1_pwm': 46456.0, 'pwm.m3_pwm': 44570.0, 'pm.vbat': 3.4258065223693848}
