Wed Feb 21 12:59:51 2018
###Command: takeoff###
[72821][PWM]: {'pwm.m1_pwm': 42683.0, 'pwm.m2_pwm': 50932.0, 'pwm.m4_pwm': 39549.0, 'pwm.m3_pwm': 50810.0, 'pm.vbat': 3.357184886932373}
[72871][PWM]: {'pwm.m1_pwm': 48940.0, 'pwm.m2_pwm': 45573.0, 'pwm.m4_pwm': 47619.0, 'pwm.m3_pwm': 46878.0, 'pm.vbat': 3.357184886932373}
[72921][PWM]: {'pwm.m1_pwm': 47269.0, 'pwm.m2_pwm': 46529.0, 'pwm.m4_pwm': 48379.0, 'pwm.m3_pwm': 49670.0, 'pm.vbat': 3.346627712249756}
[72971][PWM]: {'pwm.m1_pwm': 46618.0, 'pwm.m2_pwm': 50839.0, 'pwm.m4_pwm': 44468.0, 'pwm.m3_pwm': 50437.0, 'pm.vbat': 3.3413491249084473}
[73021][PWM]: {'pwm.m1_pwm': 48614.0, 'pwm.m2_pwm': 46706.0, 'pwm.m4_pwm': 49307.0, 'pwm.m3_pwm': 48844.0, 'pm.vbat': 3.3413491249084473}
[73071][PWM]: {'pwm.m1_pwm': 47377.0, 'pwm.m2_pwm': 51747.0, 'pwm.m4_pwm': 44653.0, 'pwm.m3_pwm': 50019.0, 'pm.vbat': 3.3360705375671387}
[73121][PWM]: {'pwm.m1_pwm': 48038.0, 'pwm.m2_pwm': 49587.0, 'pwm.m4_pwm': 46898.0, 'pwm.m3_pwm': 49143.0, 'pm.vbat': 3.3360705375671387}
[73171][PWM]: {'pwm.m1_pwm': 45896.0, 'pwm.m2_pwm': 47496.0, 'pwm.m4_pwm': 47344.0, 'pwm.m3_pwm': 49279.0, 'pm.vbat': 3.346627712249756}
[73221][PWM]: {'pwm.m1_pwm': 46792.0, 'pwm.m2_pwm': 48523.0, 'pwm.m4_pwm': 46250.0, 'pwm.m3_pwm': 47475.0, 'pm.vbat': 3.3519062995910645}
[73271][PWM]: {'pwm.m1_pwm': 45068.0, 'pwm.m2_pwm': 49148.0, 'pwm.m4_pwm': 46973.0, 'pwm.m3_pwm': 49704.0, 'pm.vbat': 3.346627712249756}
[73321][PWM]: {'pwm.m1_pwm': 46660.0, 'pwm.m2_pwm': 49559.0, 'pwm.m4_pwm': 47164.0, 'pwm.m3_pwm': 48680.0, 'pm.vbat': 3.3413491249084473}
[73371][PWM]: {'pwm.m1_pwm': 46220.0, 'pwm.m2_pwm': 49563.0, 'pwm.m4_pwm': 47553.0, 'pwm.m3_pwm': 48926.0, 'pm.vbat': 3.346627712249756}
[73421][PWM]: {'pwm.m1_pwm': 46198.0, 'pwm.m2_pwm': 49738.0, 'pwm.m4_pwm': 47098.0, 'pwm.m3_pwm': 47644.0, 'pm.vbat': 3.346627712249756}
[73471][PWM]: {'pwm.m1_pwm': 45970.0, 'pwm.m2_pwm': 50204.0, 'pwm.m4_pwm': 47417.0, 'pwm.m3_pwm': 47550.0, 'pm.vbat': 3.346627712249756}
[73521][PWM]: {'pwm.m1_pwm': 45803.0, 'pwm.m2_pwm': 51503.0, 'pwm.m4_pwm': 46549.0, 'pwm.m3_pwm': 48071.0, 'pm.vbat': 3.346627712249756}
[73571][PWM]: {'pwm.m1_pwm': 46154.0, 'pwm.m2_pwm': 49915.0, 'pwm.m4_pwm': 48905.0, 'pwm.m3_pwm': 47928.0, 'pm.vbat': 3.3413491249084473}
[73621][PWM]: {'pwm.m1_pwm': 46739.0, 'pwm.m2_pwm': 50922.0, 'pwm.m4_pwm': 47696.0, 'pwm.m3_pwm': 47176.0, 'pm.vbat': 3.3413491249084473}
