time, m1_pwm, set_pwm, voltage
3150, 3751, 2816, 0.222731441413639
3200, 4086, 3072, 0.242568479511379
3250, 4086, 3072, 0.242568479511379
3300, 4419, 3328, 0.262336971816112
3350, 4419, 3328, 0.262336971816112
3400, 4751, 3584, 0.282036918327837
3450, 4751, 3584, 0.282036918327837
3500, 5081, 3840, 0.301668319046555
3550, 5081, 3840, 0.301668319046555
3600, 5411, 4096, 0.321231173972265
3650, 5411, 4096, 0.321231173972265
3700, 5739, 4352, 0.340725483104968
3750, 5739, 4352, 0.340725483104968
3800, 6066, 4608, 0.360151246444663
3850, 6066, 4608, 0.360151246444663
3900, 6392, 4864, 0.37950846399135
3950, 6392, 4864, 0.37950846399135
4000, 6717, 5120, 0.398797135745031
4050, 6717, 5120, 0.398797135745031
4100, 7041, 5376, 0.418017261705703
4150, 7041, 5376, 0.418017261705703
4200, 7364, 5632, 0.437168841873369
4250, 7364, 5632, 0.437168841873369
4300, 7685, 5888, 0.456251876248026
4350, 7685, 5888, 0.456251876248026
4400, 8016, 6144, 0.475266364829676
4450, 8016, 6144, 0.475266364829676
4500, 8336, 6400, 0.494212307618319
4550, 8325, 6400, 0.494212307618319
4600, 8654, 6656, 0.513089704613954
4650, 8643, 6656, 0.513089704613954
4700, 8960, 6912, 0.531898555816582
4750, 8972, 6912, 0.531898555816582
4800, 9288, 7168, 0.550638861226202
4850, 9288, 7168, 0.550638861226202
4900, 9603, 7424, 0.569310620842814
4950, 9603, 7424, 0.569310620842814
5000, 9917, 7680, 0.58791383466642
5050, 9917, 7680, 0.58791383466642
5100, 10229, 7936, 0.606448502697017
5150, 10229, 7936, 0.606448502697017
5200, 10526, 8192, 0.624914624934607
5250, 10541, 8192, 0.624914624934607
5300, 10851, 8448, 0.64331220137919
5350, 10851, 8448, 0.64331220137919
5400, 11160, 8704, 0.661641232030765
5450, 11145, 8704, 0.661641232030765
5500, 11468, 8960, 0.679901716889333
5550, 11468, 8960, 0.679901716889333
5600, 11775, 9216, 0.698093655954893
5650, 11775, 9216, 0.698093655954893
5700, 12081, 9472, 0.716217049227445
5750, 12081, 9472, 0.716217049227445
5800, 12385, 9728, 0.73427189670699
5850, 12385, 9728, 0.73427189670699
5900, 12689, 9984, 0.752258198393528
5950, 12689, 9984, 0.752258198393528
6000, 12991, 10240, 0.770175954287058
6050, 12991, 10240, 0.770175954287058
6100, 13292, 10496, 0.78802516438758
6150, 13292, 10496, 0.78802516438758
6200, 13592, 10752, 0.805805828695095
6250, 13592, 10752, 0.805805828695095
6300, 13891, 11008, 0.823517947209603
6350, 13891, 11008, 0.823517947209603
6400, 14188, 11264, 0.841161519931103
6450, 14188, 11264, 0.841161519931103
6500, 14485, 11520, 0.858736546859595
6550, 14485, 11520, 0.858736546859595
6600, 14780, 11776, 0.87624302799508
6650, 14780, 11776, 0.87624302799508
6700, 15074, 12032, 0.893680963337558
6750, 15074, 12032, 0.893680963337558
6800, 15367, 12288, 0.911050352887028
6850, 15367, 12288, 0.911050352887028
6900, 15659, 12544, 0.92835119664349
6950, 15681, 12544, 0.92835119664349
7000, 15950, 12800, 0.945583494606945
7050, 15972, 12800, 0.945583494606945
7100, 16262, 13056, 0.962747246777393
7150, 16262, 13056, 0.962747246777393
7200, 16550, 13312, 0.979842453154832
7250, 16550, 13312, 0.979842453154832
7300, 16838, 13568, 0.996869113739265
7350, 16838, 13568, 0.996869113739265
7400, 17101, 13824, 1.01382722853069
7450, 17124, 13824, 1.01382722853069
7500, 17410, 14080, 1.03071679752911
7550, 17410, 14080, 1.03071679752911
7600, 17694, 14336, 1.04753782073452
7650, 17670, 14336, 1.04753782073452
7700, 17977, 14592, 1.06429029814692
7750, 17977, 14592, 1.06429029814692
7800, 18259, 14848, 1.08097422976631
7850, 18259, 14848, 1.08097422976631
7900, 18539, 15104, 1.0975896155927
7950, 18539, 15104, 1.0975896155927
8000, 18819, 15360, 1.11413645562608
8050, 18819, 15360, 1.11413645562608
8100, 19097, 15616, 1.13061474986645
8150, 19097, 15616, 1.13061474986645
8200, 19374, 15872, 1.14702449831382
8250, 19374, 15872, 1.14702449831382
8300, 19650, 16128, 1.16336570096818
8350, 19650, 16128, 1.16336570096818
8400, 19925, 16384, 1.17963835782953
8450, 19925, 16384, 1.17963835782953
8500, 20199, 16640, 1.19584246889787
8550, 20199, 16640, 1.19584246889787
8600, 20471, 16896, 1.2119780341732
8650, 20471, 16896, 1.2119780341732
8700, 20743, 17152, 1.22804505365553
8750, 20743, 17152, 1.22804505365553
8800, 21013, 17408, 1.24404352734485
8850, 21013, 17408, 1.24404352734485
8900, 21282, 17664, 1.25997345524116
8950, 21282, 17664, 1.25997345524116
9000, 21550, 17920, 1.27583483734447
9050, 21579, 17920, 1.27583483734447
9100, 21817, 18176, 1.29162767365476
9150, 21817, 18176, 1.29162767365476
9200, 22112, 18432, 1.30735196417205
9250, 22112, 18432, 1.30735196417205
9300, 22377, 18688, 1.32300770889634
9350, 22347, 18688, 1.32300770889634
